"filename", "language", "JavaScript", "JSON", "Markdown", "Groovy", "Batch", "Properties", "C++", "Objective-C", "XML", "Java", "comment", "blank", "total"
"c:\projects\wheather-app\.eslintrc.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\projects\wheather-app\.prettierrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\projects\wheather-app\.watchmanconfig", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\wheather-app\README.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\projects\wheather-app\__tests__\App-test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\projects\wheather-app\android\app\build.gradle", "Groovy", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 112, 23, 223
"c:\projects\wheather-app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\projects\wheather-app\android\app\src\debug\java\com\wheatherforme\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 8, 6, 73
"c:\projects\wheather-app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 2, 5, 32
"c:\projects\wheather-app\android\app\src\main\java\com\wheatherforme\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 4, 16
"c:\projects\wheather-app\android\app\src\main\java\com\wheatherforme\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 13, 9, 81
"c:\projects\wheather-app\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\projects\wheather-app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 3, 10
"c:\projects\wheather-app\android\build.gradle", "Groovy", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 4, 39
"c:\projects\wheather-app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 19, 7, 29
"c:\projects\wheather-app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\projects\wheather-app\android\gradlew.bat", "Batch", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 22, 90
"c:\projects\wheather-app\android\settings.gradle", "Groovy", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\projects\wheather-app\app.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\projects\wheather-app\babel.config.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\projects\wheather-app\ios\WheatherForMeTests\WheatherForMeTests.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 15, 66
"c:\projects\wheather-app\ios\WheatherForMe\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\projects\wheather-app\ios\WheatherForMe\AppDelegate.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 11, 63
"c:\projects\wheather-app\ios\WheatherForMe\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\projects\wheather-app\ios\WheatherForMe\Images.xcassets\Contents.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\projects\wheather-app\ios\WheatherForMe\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 1, 48
"c:\projects\wheather-app\ios\WheatherForMe\main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\projects\wheather-app\metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"c:\projects\wheather-app\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\projects\wheather-app\src\App.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"c:\projects\wheather-app\src\app\apiHandler.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\projects\wheather-app\src\features\cityInfo.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\projects\wheather-app\src\features\wheatherInfo.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\projects\wheather-app\src\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"Total", "-", 146, 82, 6, 121, 68, 8, 5, 110, 90, 126, 179, 159, 1100